PLAYER_ID,NAME
63,Michael Smith
120,Steven Smith
121,Patrick Ewing
199,Reggie Williams
244,Dee Brown
279,Charles Jones
293,Charles Smith
698,Eddie Johnson
707,Mark Davis
779,Glen Rice
913,Larry Johnson
1520,Charles Smith
1538,Cedric Henderson
1585,Brandon Williams
1814,Chris Smith
2229,Mike James
2256,Ken Johnson
2399,Mike Dunleavy
2891,Mark Jones
76518,Charlie Davis
76519,Charlie Davis
76526,Johnny Davis
76528,Mark Davis
76609,Bob Duffy
76610,Bob Duffy
76616,Mike Dunleavy
76908,Matt Guokas
76909,Matt Guokas
76990,Cedric Henderson
76993,Gerald Henderson
77139,David Johnson
77144,Eddie Johnson
77147,George Johnson
77148,George Johnson
77149,George Johnson
77154,Ken Johnson
77156,Larry Johnson
77178,Charles Jones
77193,Bobby Jones
77202,Willie Jones
77203,Willie Jones
77268,George King
77818,Jim Paxson
77819,Jim Paxson
78048,Walker Russell
78179,Charles Smith
78190,Greg Smith
78197,Michael Smith
78207,Bill Smith
78209,Bill Smith
78380,Jack Turner
78382,Jack Turner
78561,Nate Williams
90000,Mark Jones
200766,Marcus Williams
200784,Bobby Jones
200793,Dee Brown
200848,Steven Smith
201041,Walker Russell
201173,Marcus Williams
201607,Patrick Ewing
201945,Gerald Henderson
202130,Reggie Williams
202419,Chris Johnson
202874,Chris Wright
202962,Greg Smith
203147,Chris Smith
203183,Tony Mitchell
203187,Chris Johnson
203203,Chris Wright
203318,Glen Rice
203502,Tony Mitchell
1628455,Mike James
1628994,George King
1630314,Brandon Williams
1630525,David Johnson
1631098,Johnny Davis
1631466,Nate Williams
